date,open,high,low,close,volume,open_interest,qrs_raw,qrs_r2,qrs_zscore,qrs_adjusted,qrs_slope,qrs_percentile,daily_return,raw_signal,position,benchmark_return,strategy_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,turnover
2023-03-31,100.39,100.48,100.31,100.455,66015,181477.0,1.0002828936392547,0.8786371982830536,,,,,0.0008468665936036679,0.0,0.0,0.0008468665936036679,0.0,1.0,1.0046002300115,0.0,-0.002333896116794354,0.0
2023-04-03,100.445,100.475,100.265,100.295,78380,175954.0,0.9335739155665326,0.8376554438664172,,,,,-0.0015927529739684365,0.0,0.0,-0.0015927529739684365,-0.0,1.0,1.0030001500074999,0.0,-0.003922931770781846,0.0
2023-04-04,100.335,100.38,100.275,100.365,49969,176852.0,0.90094123990483,0.7732730210555365,,,,,0.0006979410738321423,0.0,0.0,0.0006979410738321423,0.0,1.0,1.00370018500925,0.0,-0.0032277286721622556,0.0
2023-04-06,100.37,100.385,100.255,100.35,61648,177097.0,0.8562386980108616,0.7640394098462491,,,,,-0.00014945449110748132,0.0,0.0,-0.00014945449110748132,-0.0,1.0,1.0035501775088749,0.0,-0.003376700764723628,0.0
2023-04-07,100.33,100.615,100.265,100.55,87814,183048.0,0.8207385262691957,0.4643060146764797,,,,,0.0019930244145491827,0.0,0.0,0.0019930244145491827,0.0,1.0,1.0055502775138752,0.0,-0.0013904061972392912,0.0
2023-04-10,100.5,100.61,100.47,100.605,40800,183817.0,0.7935263623719999,0.5246704014166397,,,,,0.000546991546494402,0.0,0.0,0.000546991546494402,0.0,1.0,1.0061003050152504,0.0,-0.0008441751911809625,0.0
2023-04-11,100.65,100.775,100.63,100.765,56359,188222.0,0.8113272734751222,0.671576860469963,,,,,0.0015903782118185106,0.0,0.0,0.0015903782118185106,0.0,1.0,1.0077003850192505,0.0,0.0,0.0
2023-04-12,100.8,100.865,100.755,100.83,46146,186353.0,0.8419439962981158,0.8142152897388534,,,,,0.0006450652508311894,0.0,0.0,0.0006450652508311894,0.0,1.0,1.0083504175208757,0.0,0.0,0.0
2023-04-13,100.795,100.835,100.705,100.765,56550,184818.0,0.8579660004480241,0.8583644231796542,,,,,-0.000644649409897835,0.0,0.0,-0.000644649409897835,-0.0,1.0,1.0077003850192507,0.0,-0.000644649409897724,0.0
2023-04-14,100.75,100.83,100.65,100.73,73234,186577.0,0.8867163553060405,0.8770570893965746,,,,,-0.0003473428273705892,0.0,0.0,-0.0003473428273705892,-0.0,1.0,1.0073503675183757,0.0,-0.000991768322919695,0.0
2023-04-17,100.67,100.67,100.56,100.575,75829,185514.0,0.876019701995721,0.8772534562202265,,,,,-0.001538767000893504,0.0,0.0,-0.001538767000893504,-0.0,1.0,1.0058002900145004,0.0,-0.0025290092234453443,0.0
2023-04-18,100.56,100.72,100.535,100.69,71110,185160.0,0.8764935635212343,0.8778618268828342,,,,,0.0011434253044990683,0.0,0.0,0.0011434253044990683,0.0,1.0,1.0069503475173756,0.0,-0.0013884756520876618,0.0
2023-04-19,100.715,100.78,100.7,100.735,52796,184440.0,0.8487821536360085,0.8813774891581956,,,,,0.0004469162776838953,0.0,0.0,0.0004469162776838953,0.0,1.0,1.0074003700185006,0.0,-0.0009421799067738101,0.0
2023-04-20,100.735,100.765,100.66,100.72,53933,184470.0,0.8415744965746604,0.8714596929128666,,,,,-0.00014890554424973335,0.0,0.0,-0.00014890554424973335,-0.0,1.0,1.0072503625181255,0.0,-0.0010909451552117977,0.0
2023-04-21,100.745,100.925,100.69,100.9,76804,188652.0,0.8772968736392938,0.862548610959353,,,,,0.0017871326449563352,0.0,0.0,0.0017871326449563352,0.0,1.0,1.0090504525226258,0.0,0.0,0.0
2023-04-24,100.915,101.015,100.915,100.96,65789,187546.0,0.8601306616389679,0.8935565211162213,,,,,0.0005946481665013437,0.0,0.0,0.0005946481665013437,0.0,1.0,1.0096504825241257,0.0,0.0,0.0
2023-04-25,100.985,101.01,100.93,100.955,62070,187203.0,0.8369061652574218,0.9102300950314417,,,,,-4.9524564183833775e-05,0.0,0.0,-4.9524564183833775e-05,-0.0,1.0,1.0096004800240006,0.0,-4.95245641839448e-05,0.0
2023-04-26,100.985,101.11,100.94,101.09,64309,185491.0,0.8810471533896143,0.9225672032639193,,,,,0.0013372294586697642,0.0,0.0,0.0013372294586697642,0.0,1.0,1.010950547527376,0.0,0.0,0.0
