date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,selected_compare_lag_days,date_dt
2023-07-17 14:20:00,-0.07462924073235075,3.990965501128733,16,600,2.0,0.5,price_compare,5,,2023-07-17 14:20:00
2023-07-18 14:35:00,-0.06661852399055886,4.448883781111049,16,600,2.0,0.5,price_compare,5,,2023-07-18 14:35:00
2023-07-19 14:50:00,-0.08084337249383616,4.328492973087561,16,600,2.0,0.5,price_compare,5,,2023-07-19 14:50:00
2023-07-20 15:05:00,-0.09685974458129494,4.373541010973326,16,600,2.0,0.5,price_compare,5,,2023-07-20 15:05:00
2023-07-24 09:35:00,-0.10436077447743779,4.240091419702455,16,600,2.0,0.5,price_compare,5,,2023-07-24 09:35:00
2023-07-25 09:50:00,-0.10873038430920355,3.4724182361247498,16,600,2.0,0.5,price_compare,5,,2023-07-25 09:50:00
2023-07-26 10:05:00,-0.11286034791395651,3.3542557707340035,16,600,2.0,0.5,price_compare,5,,2023-07-26 10:05:00
2023-07-27 10:20:00,-0.11510274662059387,2.7959063322151874,16,600,2.0,0.5,price_compare,5,,2023-07-27 10:20:00
2023-07-28 10:35:00,-0.10968145943007616,2.5689474744161527,16,600,2.0,0.5,price_compare,5,,2023-07-28 10:35:00
2023-07-31 10:50:00,-0.1020075100308824,2.6876254545289147,16,600,2.0,0.5,price_compare,5,,2023-07-31 10:50:00
2023-08-01 11:05:00,-0.10042085519387617,2.4481787680245097,16,600,2.0,0.5,price_compare,5,,2023-08-01 11:05:00
2023-08-02 11:20:00,-0.10307798552752674,2.1494831466315567,16,600,2.0,0.5,price_compare,5,,2023-08-02 11:20:00
2023-08-03 13:05:00,-0.10581752260934105,2.066608821137181,16,600,2.0,0.5,price_compare,5,,2023-08-03 13:05:00
2023-08-04 13:20:00,-0.10304636785520868,1.6419565331337977,16,600,2.0,0.5,price_compare,5,,2023-08-04 13:20:00
2023-08-07 13:35:00,-0.10252992779927599,1.9459464215649263,16,600,2.0,0.5,price_compare,5,,2023-08-07 13:35:00
2023-08-08 13:50:00,-0.09822095466643162,1.9821203377888594,16,600,2.0,0.5,price_compare,5,,2023-08-08 13:50:00
2023-08-09 14:05:00,-0.12230665945657851,1.8357827385657306,16,600,2.0,0.5,price_compare,5,,2023-08-09 14:05:00
2023-08-10 14:20:00,-0.1158392314562299,1.8217879890023174,16,600,2.0,0.5,price_compare,5,,2023-08-10 14:20:00
2023-08-11 14:35:00,-0.12638167561717137,1.0179560086676465,16,600,2.0,0.5,price_compare,5,,2023-08-11 14:35:00
2023-08-14 14:50:00,-0.1250659231277171,1.2343193456520916,16,600,2.0,0.5,price_compare,5,,2023-08-14 14:50:00
2023-08-15 15:05:00,-0.11371455159509175,1.6709434598759614,16,600,2.0,0.5,price_compare,5,,2023-08-15 15:05:00
2023-08-17 09:35:00,-0.11990081591519725,2.020657943771156,16,600,2.0,0.5,price_compare,5,,2023-08-17 09:35:00
2023-08-18 09:50:00,-0.12255357289760582,1.8331326772048535,16,600,2.0,0.5,price_compare,5,,2023-08-18 09:50:00
2023-08-21 10:05:00,-0.12627429141397248,2.0754525310435445,16,600,2.0,0.5,price_compare,5,,2023-08-21 10:05:00
2023-08-22 10:20:00,-0.1352914648327802,1.8992447449082182,16,600,2.0,0.5,price_compare,5,,2023-08-22 10:20:00
2023-08-23 10:35:00,-0.13647482101021424,1.856433618414576,16,600,2.0,0.5,price_compare,5,,2023-08-23 10:35:00
2023-08-24 10:50:00,-0.14323553074557682,2.125382962431766,16,600,2.0,0.5,price_compare,5,,2023-08-24 10:50:00
2023-08-25 11:05:00,-0.1353933334215238,2.148294158406145,16,600,2.0,0.5,price_compare,5,,2023-08-25 11:05:00
2023-08-28 11:20:00,-0.13232562041003842,2.222551515856192,16,600,2.0,0.5,price_compare,5,,2023-08-28 11:20:00
2023-08-29 13:05:00,-0.10842117267553411,2.600772156347158,16,600,2.0,0.5,price_compare,5,,2023-08-29 13:05:00
2023-08-30 13:20:00,-0.10435056015188271,2.2542539685225833,16,600,2.0,0.5,price_compare,5,,2023-08-30 13:20:00
2023-08-31 13:35:00,-0.11510033158332718,2.141503796362503,16,600,2.0,0.5,price_compare,5,,2023-08-31 13:35:00
2023-09-01 13:50:00,-0.10049712037704739,1.7425309209306599,16,600,2.0,0.5,price_compare,5,,2023-09-01 13:50:00
2023-09-04 14:05:00,-0.09694182910530096,2.3173437097938896,16,600,2.0,0.5,price_compare,5,,2023-09-04 14:05:00
2023-09-05 14:20:00,-0.09263130620470836,1.9285167116068807,16,600,2.0,0.5,price_compare,5,,2023-09-05 14:20:00
2023-09-06 14:35:00,-0.09029385039604197,2.0159457254480904,16,600,2.0,0.5,price_compare,5,,2023-09-06 14:35:00
2023-09-07 14:50:00,-0.06822089353902949,2.2759882760703074,16,600,2.0,0.5,ma_compare,5,2.0,2023-09-07 14:50:00
2023-09-08 15:05:00,-0.05804859152960966,2.1321561317611146,16,600,2.0,0.5,ma_compare,5,2.0,2023-09-08 15:05:00
2023-09-12 09:35:00,-0.06266748080953893,2.125530249034723,16,600,2.0,0.5,ma_compare,5,2.0,2023-09-12 09:35:00
2023-09-13 09:50:00,-0.06482221002895248,1.945493828629257,16,600,2.0,0.5,ma_compare,5,2.0,2023-09-13 09:50:00
2023-09-14 10:05:00,-0.06051117401162367,2.0018752025683737,16,600,2.0,0.5,price_compare,5,,2023-09-14 10:05:00
2023-09-15 10:20:00,-0.07811611017905122,2.367600496007226,20,800,2.0,0.5,price_compare,5,,2023-09-15 10:20:00
2023-09-18 10:35:00,-0.0932381592950565,2.73636343195449,20,800,2.0,0.5,price_compare,5,,2023-09-18 10:35:00
2023-09-19 10:50:00,-0.10785185579089575,2.8089032709465793,20,800,2.0,0.5,price_compare,5,,2023-09-19 10:50:00
2023-09-20 11:05:00,-0.1012070574530657,2.5899370650721734,20,800,2.0,0.5,price_compare,5,,2023-09-20 11:05:00
2023-09-21 11:20:00,-0.10709254393657884,2.3235124356262937,20,800,2.0,0.5,price_compare,5,,2023-09-21 11:20:00
2023-09-22 13:05:00,-0.09704756307467471,2.251013343805817,20,800,2.0,0.5,price_compare,5,,2023-09-22 13:05:00
2023-09-25 13:20:00,-0.10081783084816998,2.344814861640787,20,800,2.0,0.5,price_compare,5,,2023-09-25 13:20:00
2023-09-26 13:35:00,-0.08077566032330608,2.5259777190435293,20,800,2.0,0.5,price_compare,5,,2023-09-26 13:35:00
2023-09-27 13:50:00,-0.07954354608609754,2.34994507966629,20,800,2.0,0.5,price_compare,5,,2023-09-27 13:50:00
2023-09-28 14:05:00,-0.06033137996655713,2.428081545753488,20,800,2.0,0.5,price_compare,5,,2023-09-28 14:05:00
2023-10-09 14:20:00,-0.04202413325520046,2.3672263167717387,20,800,2.0,0.5,price_compare,5,,2023-10-09 14:20:00
2023-10-10 14:35:00,-0.010670108091709,2.0258739577625455,20,800,2.0,0.5,price_compare,5,,2023-10-10 14:35:00
