date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,date_dt
2024-06-26 09:50:00,-0.05517054079997699,3.9203089571352527,16,600,2.0,0.5,price_compare,5,2024-06-26 09:50:00
2024-06-27 10:05:00,-0.0550566331972918,4.235224408207467,16,600,2.0,0.5,price_compare,5,2024-06-27 10:05:00
2024-06-28 10:20:00,-0.06567349217932446,4.276970559785634,16,600,2.0,0.5,price_compare,5,2024-06-28 10:20:00
2024-07-01 10:35:00,-0.0699339120046072,4.462978411775673,16,600,2.0,0.5,price_compare,5,2024-07-01 10:35:00
2024-07-02 10:50:00,-0.07694547738672541,5.239517897728294,16,600,2.0,0.5,price_compare,5,2024-07-02 10:50:00
2024-07-03 11:05:00,-0.06822029847560726,5.0568378808753724,16,600,2.0,0.5,price_compare,5,2024-07-03 11:05:00
2024-07-04 11:20:00,-0.055494554380943154,4.986283091111741,16,600,2.0,0.5,price_compare,5,2024-07-04 11:20:00
2024-07-05 13:05:00,-0.03385048702341157,5.067152445563253,16,600,2.0,0.5,price_compare,5,2024-07-05 13:05:00
2024-07-08 13:20:00,-0.018990099062836344,5.423332779296583,16,600,2.0,0.5,price_compare,5,2024-07-08 13:20:00
2024-07-09 13:35:00,-0.011421205831401724,5.3574553262445415,16,600,2.0,0.5,price_compare,5,2024-07-09 13:35:00
2024-07-10 13:50:00,-0.0008317902165036665,5.232095137572448,16,600,2.0,0.5,price_compare,5,2024-07-10 13:50:00
2024-07-11 14:05:00,-0.002141245889229821,5.130283945684871,16,600,2.0,0.5,price_compare,5,2024-07-11 14:05:00
2024-07-12 14:20:00,-0.020410819902999196,5.351708032456846,16,600,2.0,0.5,price_compare,5,2024-07-12 14:20:00
2024-07-15 14:35:00,-0.01968480705442999,5.226961518593824,16,600,2.0,0.5,price_compare,5,2024-07-15 14:35:00
2024-07-16 14:50:00,-0.01688686033023678,5.046402940375983,16,600,2.0,0.5,price_compare,5,2024-07-16 14:50:00
2024-07-17 15:05:00,-0.016325645931901247,4.756036668500792,16,600,2.0,0.5,price_compare,5,2024-07-17 15:05:00
2024-07-19 09:35:00,-0.016703954903247643,4.424312398027892,16,600,2.0,0.5,price_compare,5,2024-07-19 09:35:00
2024-07-22 09:50:00,-0.011127476134135688,4.601196838125162,16,600,2.0,0.5,price_compare,5,2024-07-22 09:50:00
2024-07-23 10:05:00,-0.0011388042588028819,5.324856031440707,16,600,2.0,0.5,price_compare,5,2024-07-23 10:05:00
2024-07-24 10:20:00,-0.007193598231266095,4.994718800625214,16,600,2.0,0.5,price_compare,5,2024-07-24 10:20:00
2024-07-25 10:35:00,-0.005198943993989593,5.070051092033175,16,600,2.0,0.5,price_compare,5,2024-07-25 10:35:00
2024-07-26 10:50:00,0.014188948569856443,4.717970217817764,16,600,2.0,0.5,price_compare,5,2024-07-26 10:50:00
2024-07-29 11:05:00,0.023639426492274383,5.463908771392225,16,600,2.0,0.5,price_compare,5,2024-07-29 11:05:00
2024-07-30 11:20:00,0.015808093310360205,5.863638888457755,16,600,2.0,0.5,price_compare,5,2024-07-30 11:20:00
2024-07-31 13:05:00,0.006882466342042104,5.8260637979158085,16,600,2.0,0.5,price_compare,5,2024-07-31 13:05:00
2024-08-01 13:20:00,0.017393382985752028,6.017660878648731,16,600,2.0,0.5,price_compare,5,2024-08-01 13:20:00
2024-08-02 13:35:00,0.02294187692182483,6.294572442648755,16,600,2.0,0.5,price_compare,5,2024-08-02 13:35:00
2024-08-05 13:50:00,0.027905876348472247,6.656056657533213,16,600,2.0,0.5,price_compare,5,2024-08-05 13:50:00
2024-08-06 14:05:00,0.015957586528888616,5.463553177663505,16,600,2.0,0.5,price_compare,5,2024-08-06 14:05:00
2024-08-07 14:20:00,0.014385961502565816,5.836186403776091,16,600,2.0,0.5,price_compare,5,2024-08-07 14:20:00
