S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.3,ma_cross,,,3.0,30.0,0.019038291266551877,0.00938824074225184,0.02593358083019173,0.36201096962753804,-0.040644350249035566,0.2309851353196281,0.5093014179784051,61.0
0.5,ma_compare,10.0,3.0,,,0.01879774306118076,0.009281278886322205,0.02617779015765641,0.35454783732413875,-0.03324352800188868,0.27919055058761827,0.5061016663861303,93.0
0.6,ma_compare,10.0,3.0,,,0.018721926660139943,0.009245559693222055,0.026177791086537637,0.353183340132038,-0.033465193364052515,0.27627390622381426,0.5059333445547888,93.0
0.5,ma_cross,,,3.0,20.0,0.01819127986752833,0.00899384246570863,0.026118524777526717,0.3443472608930518,-0.027809147416183455,0.3234130960978217,0.5067478394141939,89.0
0.7,ma_cross,,,10.0,20.0,0.018063645314616794,0.00893374402366233,0.026118526293277104,0.3420462518959912,-0.029713722085862426,0.3006605499589343,0.5055983651922177,57.0
0.6,ma_cross,,,3.0,20.0,0.016775952219121315,0.008326205735505948,0.026118541045428444,0.3187852537790694,-0.02802041622101359,0.29714782499418424,0.5065775469368641,89.0
0.5,ma_cross,,,3.0,10.0,0.015601449876106122,0.007773997821006356,0.02621693231246557,0.29652583789561043,-0.03491103766869608,0.2226802278059217,0.5060145351265558,131.0
0.4,ma_cross,,,5.0,20.0,0.013232851551292946,0.006650868388095098,0.026118662670582552,0.2546404642526346,-0.03446654844626673,0.1929658955686783,0.5053639846743295,73.0
0.4,ma_cross,,,3.0,30.0,0.012327975974960825,0.006216914547777617,0.025921204088342312,0.23983895680886155,-0.04055381448947126,0.15330036461531077,0.508920432347962,61.0
0.6,ma_cross,,,3.0,30.0,0.01098226541317171,0.005578459649671302,0.02592121476358117,0.21520826475728813,-0.03737943161589641,0.14923874998941777,0.5082693058992056,61.0
0.7,ma_cross,,,3.0,20.0,0.009959040561177579,0.005097466440483103,0.026118602019604094,0.1951661285951311,-0.0338665473697678,0.1505162715533719,0.5062795351015369,85.0
0.7,ma_cross,,,5.0,20.0,0.008245717604729252,0.004282637701146273,0.026118612772239903,0.1639688041050198,-0.034466548446277834,0.12425490494998405,0.5050874877602282,69.0
0.5,ma_cross,,,5.0,20.0,0.008230521859205142,0.004275405345256354,0.02611861285931709,0.16369189927064684,-0.0344665484462765,0.1240450679858614,0.5049597684022308,73.0
